variable,distribution,mm,mle,aic,bic
alcohol,normal,"{'mu': np.float64(10.422983114446529), 'sigma': np.float64(1.0656675818473946)}","{'mu': np.float64(10.422983114446529), 'sigma': np.float64(1.0653343003437483)}",4744.162522110352,4754.916789536021
alcohol,expon,{'scale': np.float64(10.422983114446529)},"{'loc': 0.0, 'scale': 10.422983114446529}",10698.154478163236,10708.908745588904
alcohol,gamma,"{'shape': np.float64(95.6622429482103), 'scale': np.float64(0.10895608124188905)}","{'shape': 100.31309358460639, 'loc': 0, 'scale': np.float64(0.10390451278083197)}",4660.600987290651,4676.732388429153
alcohol,lognorm,"{'s': np.float64(0.09889944679132716), 'scale': np.float64(10.371074232001888)}","{'s': np.float64(0.09886851654919736), 'loc': 0, 'scale': np.float64(10.371074232001888)}",4623.89509280876,4640.026493947262
sulphates,normal,"{'mu': np.float64(0.6581488430268917), 'sigma': np.float64(0.16950697959010996)}","{'mu': np.float64(0.6581488430268917), 'sigma': np.float64(0.16945396724179546)}",-1135.2409228435677,-1124.4866554178998
sulphates,expon,{'scale': np.float64(0.6581488430268917)},"{'loc': 0.0, 'scale': 0.6581488430268917}",1864.199310642241,1874.953578067909
sulphates,gamma,"{'shape': np.float64(15.075546814860287), 'scale': np.float64(0.04365671448667722)}","{'shape': 18.727994847974728, 'loc': 0, 'scale': np.float64(0.03514251516883907)}",-1536.8215176286453,-1520.6901164901435
sulphates,lognorm,"{'s': np.float64(0.2235664752108862), 'scale': np.float64(0.6406578791440554)}","{'s': np.float64(0.22349655606133864), 'loc': 0, 'scale': np.float64(0.6406578791440554)}",-1671.9280323916814,-1655.7966312531796
density,normal,"{'mu': np.float64(0.9967466791744841), 'sigma': np.float64(0.0018873339538425554)}","{'mu': np.float64(0.9967466791744841), 'sigma': np.float64(0.0018867437008323914)}",-15518.977870524806,-15508.223603099139
density,expon,{'scale': np.float64(0.9967466791744841)},"{'loc': 0.0, 'scale': 0.9967466791744841}",3191.5789192340008,3202.3331866596686
density,gamma,"{'shape': np.float64(278915.1396593363), 'scale': np.float64(3.573655701845009e-06)}","{'shape': 279112.9685607797, 'loc': 0, 'scale': np.float64(3.571122776251195e-06)}",-15517.115113642849,-15500.983712504347
density,lognorm,"{'s': np.float64(0.0018933778198992428), 'scale': np.float64(0.9967448936136301)}","{'s': np.float64(0.0018927856767041828), 'loc': 0, 'scale': np.float64(0.9967448936136301)}",-15517.179991648572,-15501.04859051007
